"Stotelės Nr.","Pavadinimas","Lng","Lat"
"2412","Sausupio st.","25.21217","54.64722"
"2413","Žemieji Paneriai","25.20948","54.64608"
"2414","Vaduvos st.","25.20712","54.64487"
"2415","Vaduvos st.","25.20665","54.64438"
"2416","Ūmėdžių st.","25.20425","54.64262"
"2417","Valkininkų st.","25.20256","54.64406"
"2418","Valkininkų st.","25.20184","54.64372"
"2419","Šaltupio st.","25.19113","54.64676"
"2420","Šaltupio st.","25.19038","54.64734"
"2421","Titnago st.","25.1856","54.65006"
"2421a","Titnago st.","25.18459","54.65049"
"2422","Jankiškių st.","25.19468","54.64537"
"2423","Jankiškių st.","25.19522","54.64506"
"2424","Vilkpėdės žiedas","25.24565","54.66563"
"2425","Vilkpėdės žiedas","25.24501","54.66575"
"2501","Vaidotai","25.17635","54.59876"
"2502","Vėjo st.","25.17573","54.597"
"2601","Eišiškių plentas","25.26784","54.64925"
"2602","Eišiškių plentas","25.26853","54.6497"
"2603","Eišiškių plentas","25.27177","54.65129"
"2604","Eišiškių plentas","25.27186","54.65148"
"2605","Metalo st.","25.26501","54.64581"
"2606","Metalo st.","25.26573","54.64632"
"2607","Dariaus ir Girėno st.","25.27313","54.64719"
"2608","Dariaus ir Girėno st.","25.27318","54.64755"
"2609","Metalo st.","25.26567","54.64556"
"2610","Metalo st.","25.26596","54.64488"
"2611","Felikso Vaitkaus st.","25.27373","54.64406"
"2612","Felikso Vaitkaus st.","25.27401","54.64352"
"2613","Oro uostas","25.27893","54.64278"
"2614","Hidrogeologijos st.","25.26321","54.64344"
"2615","Hidrogeologijos st.","25.26267","54.64295"
"2616","Geologų st.","25.26679","54.63986"
"2617","Geologų st.","25.26684","54.63868"
"2618","Kirtimai","25.27461","54.63684"
"2619","Kirtimai","25.27466","54.63748"
"2620","Tiekimo st.","25.27312","54.63206"
"2621","Tiekimo st.","25.27323","54.63323"
"2622","Kirtimų geležinkelio stotis","25.2722","54.62953"
"2623","Katilinė","25.26604","54.63486"
"2624","Verslo st.","25.25934","54.63933"
"2625","Verslo st.","25.25882","54.63898"
"2626","Verslo st.","25.25814","54.63701"
"2627","Elektros st.","25.25666","54.63399"
"2628","Dilgynė","25.25372","54.63435"
"2629","Dilgynė","25.25296","54.63427"
"2630","Dilgynė","25.25412","54.6349"
"2631","Karaimų kapinės","25.29743","54.65511"
"2632","Žirnių st.","25.3027","54.65307"
"2633","Kelininkų st.","25.30266","54.64917"
"2634","Šalčininkų kryptis","25.30273","54.64398"
"2635","Miško parkas","25.30307","54.63671"
"2636","Lydos st.","25.30547","54.62522"
